Pseudo,Title,Review,Rating,Verified Purchase,Date,Score,Compound,Sentiment
Nathan Dumas,great little powerhouse,im giving little engine could five stars well two hundred dollars im reviewing two hundred dollar product comparing macbook air m1 would probably three stars comparing microsoft surface three half small budget laptop category excellentquick rundown blows mind good job ive used lot computers one impresses youve ever chromebook even cheap perhaps even expensive laptop youll feel difference immediately issues none deal breakers many many pros read onpros incredible price performance ratiovery well built cheap partsfullsize comfortable keyboardsmall lightweightgood design add stickers little plain youfull windows 10 license hardwired bloatwareinternal nvme slot external sd card sloti could keep going 200cons backlight keyboard least 116 modelsome irksome viewing angle problemsmaddeningly little built storagealmost little ramrealtek wifi card explained linux sectionive divided review individual sections webcam speakers performance software etc scroll one thats important read review top bottom orderintroduction aboveweight buildkeyboard trackpadscreenbatteryperformance including gamingwebcamspeakers soundsoftwarelinuxother sd card slot nvme slot hdmi output heating cleaningconclusionlet start disclaimers first ive using weeks enough time get good sense mettle iron problems theres things ive noticed ive added review see performance screen ill add arise problem significant enough made way wonder worth 200 really good price pointthe second disclaimer theres reviewers saying either got dud b clunked two years duds happen product exception mine decided go fritz ill update review relative exchange process wont deduct stars gave second get two years solid use good product buy another onewith said let get detailsweight build one greatest strengths rivals many laptops higher price ranges theres creaks cheap plastic waiting shatter flimsy toy solid electronic feels right hands lap desk many laptops try woo larger screens better specs life lower price tag turn cup coasters plug really feels like life itits obscenely light like macbook air move use lap without strain travelings kind thing weight sufficient would feel comfortable carrying airportthe screen hinge feels durable like wont breaking anytime soon set position like stays laptop isnt superultramega thin thin thats nice bonus could probably fit envelope maybe slightly larger envelope one steve jobs usedkeyboard trackpad keyboard im love full size cramping tiny keys accidentally presses give decisive gratifying feels good use keyboard actually one literally one thing feel cut little close corner theres backlight appears models backlight though im sure mine doesnt got 116 model little frustrating im considering getting book light type dark two hundred dollar laptop ill make dueanother note put delete key right next power key shucks times ive gone press delete key computer goes sleep mode inconvenience anything press power button start right back left still youre sensitive work something consider im sure youll learn quickly cautiousalso enter key green thought strange really like hard explainthe trackpad responsive click also decisive gratifying dont issues accidentally pressing im typing good expect click tap mouse clicks click right right clicks scrolling painless intuitive nuanced numpad keyboard nice touch though would traded backlit keyboardscreen going back started two hundred dollar laptop youre getting apple retina display minor viewing angle problems youll accommodate youre looking directly everything looks good pure colors whitening turn horizontally bend screen back theres noticeable change tone likely wont interfere work dont color grading professional photoshoots itthe screen resolution right screen small theres enough room want one significant factors comfort cramped would give headache strain eyes good job making sure theres breathing room healthy buffer zone around whatever youre focusing feel like move engage multiple thingstheres reviews complaining touch screen cant please everyone something feel missing especially 200battery battery life point time remaining windows estimates seems vary quite bit watched two movies used 4 hours still 17 kind thing charge night last day normal conditions also doesnt quick charge another little cut corner im stressing im around power outlet time quick charge issue youre wrong price pointside note charging port really plugs give little oomph pull pro con definitely dont want trip cord whole thing go flying table reposition device without worry cord falling outperformance actually one biggest strengths really surprised components come together create seamless experience nervous odd named intel processor n6 something something turns actually intel celeron four gigs memory doesnt seem like quite enough somehow manages muscle minimum left guess largely due ssd years ago laptop manufacturers two options storage physical hard drive expensive bulky power drain sort memory like thumb drive slow huge bottle neckswell thing solid state drive makes difference decent processor enough memory ssd breeze routine task ask open microsoft word surf web torrent files play music without hitch performance reasonable conditions never problem youll never feel pause get frustratedi love original warhammer 40k dawn war series plays effortlessly even mods welcomed imagine also play sins solar empire age empires among us terraria maybe even minecraft thats kind thing check gogcom great old games youll surprised whats planning light gaming nvme slot really come handyimportant edit using weeks lack ram starting become issue windows done good job managing memory even daytoday tasks overwhelm expresses stalled applications dropped chrome tabs even system notifications system run memory reach significant error though everything went black reboot windows wanted help set system big error luckily everything intact files settings programs kind startling headachei running programs nothing demanding youre planning using anything spotify chrome forewarnedwebcam webcam would expect hefty 03 megapixels arent dropped frames color processing alright need webcam fly itll due use webcam serious purposes would suggest investing nice one probably going anyway device able handle without issueof special note microphone actually great audio comes clear audible distinct focused find situation use onboard webcam video quality wont great wont problem heard understoodspeakers sound speakers placed device pointing directly would think would make impossible hear projects doesnt distort sound ive watched movies havent issue hearing gets plenty loud im bit audiophile though many advance say speakers theyre passable theyre bad youre getting irked sound quality theyre good would enjoy beethovens 5th various aspects sound bass whatever else parts called balanced clearif youre using casual media use lackluster sound quality fade background youll able enjoy whatever youre doingthe headphone amplifier decent appears didnt skimp tested pair sony mdr7506s oneforone studio monitors higher average impedance amplifier didnt quit reach optimal levels produced clear pleasing sound nice kick onboard amplifier adequate youre real audiophile use external amplifier primary factor consider sound putting boosted definitely cansoftware theres pieces bloatware youll want uninstall mcafee skype myasus dont know bloatware ask techy family remove fortunately none hard coded software hardware uninstalling straight forward simple done add remove programs laptop come windows mode suppose simpler version windows bothersome limitations power users made extremely easy convert regular windows 10 clicked button havent worry since full windows 10linux im super user comes linux know enough install use daytoday basis lowperformance computers like one linux tantalizing unfortunately wifi card system 111921 doesnt work linux doesnt seem support horizon people need prefer linux taken using usb wifi antenna untenable inconvenience people reporting switching nic entirely dont know enough speak thatother find really helpful sd card slot 64 gigs storage comes goes really quick like watch uh documentaries public domain like joker joaquin phoenix amazingly simple plug sd card got 256gb one 45 set utorrent load unfinished finished torrents onto card solves whole problem sd card buy fast enough download movies play one timeother reviewers pointed comes slot nvme ssd dont know probably doesnt make much difference helpful addition hoorayit tons ports great two usb ports usbc port mentioned sd card slot auxiliary port hdmi port ive used hdmi port full screen tv works watching movie quality movie file make difference sound compression changes necessary downloaded media generally done vlc help lot bluray performance doesnt seem affected whats happening scene amount soundif youre planning using presentations exactly want plug play n forgetduring normal unplugged use wouldnt able tell turned heat youre running processintensive program plugged heat thats normal use lap without worrying dont see heating issue also fanless big deal live dusty environment wont slowly running ground using listening fan whir louder louder tries compensate dustside note overheats itll turn wont hurt iti like take good care computers ease cleaning matters fanless alleviates lot issues would come across still cant access behind keyboard interesting see plays might able remove key clean would go long way wouldnt try without research carefully weighing benefits riskseither way favor buy small pack qtips little bottle house hold cleaner pinesol works well lens clothes throw bag case youre carrying laptop occasionally go keyboard qtips wipe exterior lens cloth come handy lot think dont know necessarily add life machine feel lot better worth taking pride devicesconclusion bottom line feels good use everything keyboard performance build quality makes enjoyable complete experience theres nothing really lacking get way spectacular daytoday use got little muscle 200 youre getting real product even something say higher end laptops decide go think youll pleased,4.3 out of 5 stars,Yes,"Reviewed in the United States on April 17, 2021","{'neg': 0.046, 'neu': 0.82, 'pos': 0.134, 'compound': 0.9998}",0.9998,positive
Phoenix Angell,perfect travel companion,purchased small laptop 2021 using go writing take little thing everywhere held wonderfully well made compact issues battery usually get good 2 2 half hours writing done plug used watch movies using external blue ray disc drive watched streaming movies shows works great,5.0 out of 5 stars,Yes,"Reviewed in the United States on October 24, 2022","{'neg': 0.021, 'neu': 0.855, 'pos': 0.125, 'compound': 0.902}",0.902,positive
Nathan Dumas,great device order 64gb hdd,overall great laptop intended purpose order 64gbconsthe os takes around 2030gb cant remember specifically much default programs ie ms office easily eat another 20gb everything accounted left with10ish precious gbs remainingand youll learn quickly whatever use thing chew right space windows updates alone eat gbs windows caching passively eat gbs arent looking less year wasting hours deactivating hidden folders deleting everything find googling cancannot delete perpetually slowloading usb stick budgeting remaining gbs 23 programssoon wont able download windows updates youre literally juggling 200mb hdd space system says dont enough room download next patch least dont worry sneakily upgrading windows 11 one day theres literally room left soand save trivial amount money 50 bigger hdd feel pretty stupid stingy time cant help blame manufacturer putting disclaimer os consumes half hdd windows default programs eat almost half realistically left 10gb hdd spaceperhaps incredibly annoying thing windows 10 eat half ram existing never really gave much thought much ram os eats found staring task manager wondering windows 10 needs 4gb ram laptop 8gb spare absurd order one ram otherwise know youll need keep thing running lightalso awesome mousepad toggle number pad super cool poor thing stopped working several months requires wireless mouse function oh well still nearly aggravating hddram situationprosaside issues 110 fantastic deal would highly recommend developers students want light portable simplistic device text editors running basic programming projects preferred techies need move connect company devices troubleshooting updates etc think would excellent tool job obviously gaming laptop dont think anyone buys impression theyll running unreal engine 5 either would totally work freeware games simple games could work dinosaur computersconclusionthis laptop work school laptop primarily wonderful nifty tool excels role prepared deal broken touchpad potentially know half ram eaten osand please love sanity order 64gb hdd get larger hdd youll severely regret cheaping less 50 price difference,3.0 out of 5 stars,Yes,"Reviewed in the United States on April 17, 2021","{'neg': 0.072, 'neu': 0.786, 'pos': 0.142, 'compound': 0.9933}",0.9933,positive
Nathan Dumas,love little thing,price really can’t beat stream tv go bigger phone use word programs need side hustle perfect great battery life,5.0 out of 5 stars,Yes,"Reviewed in the United States on March 9, 2023","{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.8316}",0.8316,positive
Tina Pringels,excellent machine price combined m2 ssd,bought machine looking small inexpensive machine good battery life use writing media consumption travelling without worry much damaged broken stolenthis laptop comes 64gb emmc disk small fast bought m2 ssd add laptop primary disk bought western digital sn550 ssd add m2 ssd remove ten screws bottom laptop two different lengths screw mark holes longer screws removing removing bottom cover bit tricky tight start corner insert plastic credit card similar gap pull credit card around seam pop clips trick push credit card far seam get caught insert tiny bit seam glide easily removed bottom cover place insert ssd labelled motherboard push add single screw secure screw doesnt ship ssd usually need one buy kit dollars search m2 mounting screws get kit screws screwdriver correct size also used remove case screwsonce youve added ssd wont appear windows youve formatted disk manager open searching disk start menu hitting create format hard disk partitionsonce formatted use regular disk best performance reinstall windows ssd create windows 10 installation media search google create installation media windows follow instructions youll need usb drive thats 8gb biggeronce youve created installation media install windows ssd hit f2 booting laptop get bios select startup disk drivers available asus site search asus l210 drivers hit support windows automatically find digital license machine activaterunning ssd performance machine good considering price processor fast enough watch 4k youtube videos wish keyboard finetogood touchpad ok good considering price speakers great good enough watching youtube good would expect price size backlit keyboard thats something care screen fine good price overall build quality feels good compared units price range machine feels lightbattery life excellent using windows 10 battery saver mode activate pressing speech bubble bottom right task bar hitting battery save routinely get 12 hours normal usage medium brightness really excellent price opinionif want small cheap machine good battery life decent performance willing add m2 ssd great choice,5.0 out of 5 stars,Yes,"Reviewed in the United States on October 24, 2022","{'neg': 0.054, 'neu': 0.805, 'pos': 0.141, 'compound': 0.9962}",0.9962,positive
Phoenix Angell,light everything large one,got whole family use grandson loves play games perfect doesnt problems using perfect bills even watch tv shows overall nice light small laptop thats easy store,5.0 out of 5 stars,Yes,"Reviewed in the United States on March 23, 2023","{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.952}",0.952,positive
lcb,fantastic little laptop great price,purchased laptop use spare machine consulting practice also use ham radio hobby saw specs laptop followed price couldnt help order one key requirements size weight decent screen little machine fits requirements spadesi impressed l210s performance features definitely gaming machine adequate anyone needs web browsing office apps non cpu memoryintensive tasksill start cons 4gb ram nonexpandablesoldered despite asus page stating otherwise 64gb ssd easily expandable added 500gb ssd 50 adequate screen resolution 1366x768 fine tasks nonback lit keyboard even though product listing says backlit relatively slow adequate intel celeron cpu limited usbc support cannot charge laptop via usbc support external usbc monitor adapter weird 10key pad touch pad enabled via small button touch pad easy accidentally turn wreaking havoc use touchpad way permanently disable via bios touch screen surprising given price pointall clearly spelled product description none surprise several definitely design decisions order keep cost battery life highpros amazing battery life ive seeing 811 hours per charge normal use super lightweight small form factor 23 pounds105kg thin nice port options builtin hdmi usbc plus 2 classic usb ports expandable hard drive via m2 ssd stick took 5 minutes 50 expand storage 500gb nice keyboard rivaling much expensive laptops comes windows 10 mode easily upgraded windows 10 home charge really great price fully expected buy unknown branded laptop price point asus great brand history providing good support highquality productsin summary im pleased purchase fits bill needs perfectly fantastic battery life weighs less ipad pro folio keyboard runs full windows 10 including apps need runof cons listed 4gb ram limitation lack backlit keyboard major annoyances said machine supplies functionality need backup travel ham radio laptop since machines video editing gaming etc dont need machine tasksif looking nice little laptop basic office tasks great choicei forgot mention asus giving 90day warranty extension exchange writing review,3.0 out of 5 stars,Yes,"Reviewed in the United States on June 8, 2021","{'neg': 0.064, 'neu': 0.759, 'pos': 0.177, 'compound': 0.9976}",0.9976,positive
LM,surpassed expectations,many years using actual netbooks market something shape size discontinued term wanted something somewhat future proof wouldnt crap windows updates like previous modelsi saw video review posted elsewhere knew netbook nvme expansion slot plus sd card reader made thing elite compared models popped 512gb able install old video games programs even virtual machine twowindows 10 runs flawlessly bootup times breeze program loading times bit slow compared much higher end model something light incredible responsive little engine isas everyone tell thing game well play games yesteryear exactly bought course tested things like left4dead tower unite others left4dead barely runs even lowest settings farm together needs render quality dropped bare minimum actually expecting run ut3 engine source engine games minimal settings failed horribly also noticed bios much wiggle room throw memory gpu think struggles outside already known single channel memory flaw looking casual game simcity 2000 roller coast tycoon handle dont expect play anything 1990si made jump windows 11 yet little weary 4gb limitation constantly reminding upgrade know fully 11 ready future proofingthe numpad seems like cool idea first trouble getting hang often forget even think great feature may serve college student isnt used traditional trackpads well old self used traditional laptop need train utilize iti love netbook would definitely buy another one upgraded model future one starts showing age highly recommend anyone wants something small decent storage great response times,5.0 out of 5 stars,Yes,"Reviewed in the United States on February 13, 2023","{'neg': 0.063, 'neu': 0.827, 'pos': 0.109, 'compound': 0.9746}",0.9746,positive
bernard gallert,disappointing,although arrived china quickly reasonable job backup two features made clear someone like knows little technical aspects computing1 ethernet socket live wifi poor therefore main computer hardwired internet made clear specifications ignorance assumed computers came type input asked2 although clearly stated product description idea mode meant turns sort ploy microsoft prevent downloading thirdparty apps want use chrome rather awful bing browser vpn express essential get great firewall tried switch using info internet seem worki would normally returned process china complicated expensive therefore keep backup typewriter office apps work well keyboard good fat fingerscaveat emptor get someone knows computers probably one teenage children look specs buy,5.0 out of 5 stars,Yes,"Reviewed in the United States on May 13, 2021","{'neg': 0.05, 'neu': 0.885, 'pos': 0.066, 'compound': 0.7035}",0.7035,positive
Mark E,great laptop price,first arrived extremely slow everything took forever load used faster got give chance speakers bottom you’ll definitely connect headphone able hear audio it’s big deal super light weight easy travel perfect college student budget,4.0 out of 5 stars,Yes,"Reviewed in the United States on March 8, 2022","{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.9729}",0.9729,positive
Stacey,hp computer,ive used new hp laptop 7 days chose laptop specifications cost 147 good needed long overdue upgrade window 7 loved skipping windows 10 choosing windows 11 although miss ease windows 7 clicks windows 11 get used laptop great keyboard touch condensed key pad comfortable keys lit would plus im okay touch pad works fine bounce around pointer go haywire come word processing spreadsheet software bought office 2021 separately amazon loaded online links process easy instantly got laptop cost 139 onetime subscription software want subscription pay 99yr software i5 processor fast graphics outstanding although laptop gaming stream didnt buy highly recommend,4.4 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on February 17, 2023","{'neg': 0.031, 'neu': 0.834, 'pos': 0.136, 'compound': 0.9755}",0.9755,positive
Sophie ,job,dont use web surfing youtube email keeping files keyboard feels cheap lot cant think word right pushback keys theyre pressed sort soft said noisy im writing novel yet minor issue keyboard roomy love number pad fast enough current usage,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on April 5, 2022","{'neg': 0.022, 'neu': 0.9, 'pos': 0.078, 'compound': 0.6194}",0.6194,positive
Stacey,wow,best computer need work fast easy,3.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on February 17, 2023","{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.8392}",0.8392,positive
Stephen J.,excellent computer,always hp works great computer worth every penny pleased,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on March 9, 2023","{'neg': 0.0, 'neu': 0.498, 'pos': 0.502, 'compound': 0.877}",0.877,positive
Elizabeth,lightweight fast,like size computer lightweight touch screen purchased work home position good job keeping many programs open one time battery life issue give full eight hours described i’m able get half battery life purchased could original hp worked additional memory bluetooth think one work fine complete keyboard great love raised far need absolutely don’t like log microsoft set also need app feature find laptops windows going route it’s annoying issues money thus far job,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on April 2, 2023","{'neg': 0.028, 'neu': 0.855, 'pos': 0.117, 'compound': 0.9401}",0.9401,positive
Johnny Marlow,great value,perfect computer basic work good value nice finished pretty fast regular user,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on March 24, 2023","{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.9325}",0.9325,positive
Tammy Fisk,hp disappoint,got laptop daughter use college one semester usage laptop still performing well it’s definitely work horse,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on November 6, 2022","{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.6239}",0.6239,positive
Carlos Riba,quality pc,ive laptop couple days really like replaced acer construction unit far superior acer two small hinges screen inch wide hp continues hinge almost entire length case hinge mounts broke acer causing buy completely new laptop keep mind purchasing laptop ok little update like laptop lot read reviews giving one star product broken didnt work right box im dumbfounded reviews fact product broke delivered nothing product device defective battery box didnt notice days contacted h p great work run tests agreed battery good h p offered replace battery free wanted return laptop would replace battery declined offer already loaded personal info onto laptop werent game sending new battery let replace well kind person went favorite retailer amazon ordered proper battery replaced dead one great laptop good battery would still give 5 star review recommend anyone,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on March 7, 2023","{'neg': 0.083, 'neu': 0.762, 'pos': 0.155, 'compound': 0.9748}",0.9748,positive
Ai Bee,title misleading,product description 11th gen processor options cpu 12th gen title 12th gen certain getting 11th gen processor regardless option toggles title,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on February 16, 2023","{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.3384}",0.3384,positive
luke52,great,great job,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on October 7, 2022","{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,positive
T Richards,great laptop crazy price,love thisnot single problem since got waited year make review honest possibleruns great run games problem,4.6 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on March 18, 2023","{'neg': 0.062, 'neu': 0.62, 'pos': 0.318, 'compound': 0.9034}",0.9034,positive
